FECHA;OPER;TIPO;GRUPO_NETEO;FONDO;CVA;DVA;NETO;COD
20260514;1105889;FWD;243;95;-1815491.31239676;2722032.5409869;906541.22859014;01
20260514;1105891;FWD;243;95;-1938289.33819502;2875747.91237913;937458.57418411;01
20260514;1105893;FWD;243;95;-1968319.03337789;3141489.02440431;1173169.99102642;01
20260514;1105895;FWD;243;95;-1951579.24112233;3473474.51372943;1521895.2726071;01
20260514;1105897;FWD;243;95;-472354.066705207;651665.137154275;179311.070449068;01
20260514;1105899;FWD;243;95;-579594.02700404;866229.929968414;286635.902964374;01
20260514;1105901;FWD;243;95;-697325.195995792;1085258.14937446;387932.953378668;01
20260514;1105903;FWD;243;95;-826998.067221786;1319600.59539287;492602.528171084;01
20260514;1105905;FWD;243;95;-1879869.91914025;3653182.1886797;1773312.26953945;01
20260514;1105907;FWD;243;95;-1758940.05260612;3704532.6445056;1945592.59189948;01
20260514;1105909;FWD;243;95;-45951212.6373726;106203710.390273;60252497.7529004;01
20260514;1105911;FWD;243;95;-1686647.50186745;2559108.25370866;872460.75184121;01
20260514;1105917;FWD;243;95;-15890.2658567025;868.79647659444;-15021.4693801081;01
20260514;1105919;FWD;243;95;-34754.6225164748;7808.05458929359;-26946.5679271812;01
20260514;1105921;FWD;243;95;-60276.5937854168;28805.3619370495;-31471.2318483673;01
20260514;1105923;FWD;243;95;-89498.7524949383;59800.2512167994;-29698.5012781389;01
20260514;1105925;FWD;243;95;-121874.994870408;103514.359141956;-18360.635728452;01
20260514;1105927;FWD;243;95;-155976.973286189;173117.149979736;17140.176693547;01
20260514;1105929;FWD;243;95;-193757.706856232;253335.358324732;59577.6514685;01
20260514;1105931;FWD;243;95;-237901.577608817;336949.320139725;99047.742530908;01
20260514;1105933;FWD;243;95;-288373.581842705;419102.49231363;130728.910470925;01
20260514;1105935;FWD;243;95;-339394.599899258;514168.293352416;174773.693453158;01
20260514;1105937;FWD;243;95;-398472.37192588;601052.124283535;202579.752357655;01
20260514;1105939;FWD;243;95;-463709.048918106;689328.514531586;225619.46561348;01
20260514;1105941;FWD;243;95;-525748.802636795;768000.313863355;242251.51122656;01
20260514;1105943;FWD;243;95;-558081.330909269;884659.026090065;326577.695180796;01
20260514;1105945;FWD;243;95;-629156.543095643;940472.621177327;311316.078081684;01
20260514;1105947;FWD;243;95;-676907.538884181;1020510.68585259;343603.146968409;01
20260514;1105949;FWD;243;95;-719885.507872434;1097504.64678834;377619.138915906;01
20260514;1105951;FWD;243;95;-750577.282844934;1184301.31359314;433724.030748206;01
20260514;1105953;FWD;243;95;-756890.683666486;1300565.19571463;543674.512048144;01
20260514;1105955;FWD;243;95;-741349.932100661;1450976.54656985;709626.614469189;01
20260514;1105957;FWD;243;95;-588587.127357836;1765748.89637194;1177161.7690141;01
20260514;1105959;FWD;243;95;-554043.79648728;1774013.43471058;1219969.6382233;01
20260514;1105961;FWD;243;95;-17424421.6461406;44174107.3035132;26749685.6573726;01
20260514;1108411;FWD;137;BP;-11243.5624129496;31.2840152175336;-11212.2783977321;01
20260514;1108413;FWD;139;75;-180003.586758847;458.045151698135;-179545.541607149;01
20260514;1108415;FWD;134;93;-215854.984230486;602.86661841201;-215252.117612074;01
20260514;1108421;FWD;986;75;-71435.4362450043;93.8639445039798;-71341.5723005003;01
20260514;1108423;FWD;983;94;-8185339.426841;1160.93926954206;-8184178.48757146;01
20260514;1108569;FWD;190;94;-7278248.94035746;8552.65345192205;-7269696.28690554;01
20260514;1108698;FWD;1;92;-25848132.970634;75347027.3546054;49498894.3839714;01
20260514;1109044;FWD;23;92;-1041976.61096011;120253.202750665;-921723.408209445;01
20260514;1109608;FWD;894;HA;-14448.4489528058;129.78653454358;-14318.6624182622;01
